iter	Passed	Remaining
0	15	15851
1	18	9036
2	20	6719
3	22	5664
4	26	5307
5	29	4832
6	31	4518
7	34	4233
8	36	3993
9	41	4121
10	44	4039
11	47	3897
12	49	3781
13	52	3695
14	56	3736
15	59	3664
16	61	3578
17	64	3507
18	67	3463
19	70	3472
20	73	3431
21	76	3381
22	78	3330
23	81	3329
24	87	3400
25	89	3341
26	91	3294
27	94	3278
28	114	3821
29	118	3832
30	121	3784
31	124	3755
32	125	3689
33	127	3632
34	129	3577
35	132	3542
36	134	3495
37	137	3472
38	139	3441
39	142	3416
40	144	3384
41	148	3398
42	151	3370
43	153	3344
44	156	3326
45	159	3308
46	163	3305
47	165	3280
48	168	3265
49	170	3240
50	173	3223
51	175	3205
52	178	3197
53	181	3172
54	183	3153
55	186	3135
56	188	3121
57	192	3130
58	195	3114
59	197	3094
60	200	3083
61	202	3069
62	206	3066
63	209	3071
64	212	3050
65	214	3035
66	217	3022
67	219	3007
68	221	2992
69	224	2987
70	226	2966
71	228	2947
72	231	2933
73	233	2923
74	235	2903
75	237	2892
76	240	2879
77	242	2861
78	244	2845
79	246	2833
80	249	2825
81	251	2812
82	252	2792
83	255	2787
84	257	2771
85	260	2771
86	263	2766
87	266	2757
88	268	2752
89	271	2748
90	274	2738
91	276	2729
92	279	2726
93	282	2720
94	286	2725
95	287	2710
96	290	2702
97	292	2694
98	295	2689
99	298	2684
100	301	2684
101	303	2671
102	305	2664
103	308	2658
104	311	2654
105	314	2650
106	317	2650
107	319	2642
108	322	2634
109	325	2629
110	327	2625
111	330	2616
112	332	2608
113	334	2601
114	337	2593
115	339	2588
116	341	2578
117	343	2570
118	346	2567
119	348	2557
120	351	2551
121	353	2542
122	355	2537
123	358	2532
124	361	2527
125	363	2519
126	364	2506
127	367	2500
128	369	2495
129	372	2493
130	374	2486
131	378	2489
132	380	2482
133	383	2477
134	386	2474
135	388	2468
136	391	2464
137	394	2461
138	395	2452
139	398	2447
140	401	2443
141	402	2430
142	404	2424
143	407	2422
144	410	2419
145	412	2411
146	414	2406
147	417	2403
148	420	2400
149	423	2400
150	426	2397
151	429	2393
152	431	2388
153	433	2383
154	436	2379
155	438	2375
156	441	2369
157	443	2363
158	445	2358
159	448	2355
160	450	2348
161	453	2343
162	455	2341
163	458	2336
164	460	2332
165	463	2328
166	466	2324
167	469	2324
168	471	2320
169	474	2318
170	477	2313
171	480	2311
172	481	2302
173	485	2303
174	488	2301
175	490	2298
176	493	2295
177	495	2290
178	499	2290
179	501	2284
180	504	2281
181	506	2277
182	509	2274
183	511	2267
